"CONCAT(
'INSERT INTO Bank_Transactions (account_id, transaction_type, transaction_date, transaction_mode, transaction_amount, remarks, currency) VALUES (',
account_id, ", '",
transaction_type, "', '",
transaction_date, "', '",
transaction_mode, "', ",
tra"
"INSERT INTO Bank_Transactions (account_id, transaction_type, transaction_date, transaction_mode, transaction_amount, remarks, currency) VALUES (171, 'Withdrawal', '2025-11-14 18:54:35', 'NEFT', 49981.00, 'Withdrawal transaction', 'INR');"
"INSERT INTO Bank_Transactions (account_id, transaction_type, transaction_date, transaction_mode, transaction_amount, remarks, currency) VALUES (352, 'Loan_payment', '2025-09-08 18:54:35', 'Online', 46776.00, 'Loan_payment transaction', 'INR');"
"INSERT INTO Bank_Transactions (account_id, transaction_type, transaction_date, transaction_mode, transaction_amount, remarks, currency) VALUES (206, 'Withdrawal', '2025-02-26 18:54:35', 'Cash', 16851.00, 'Withdrawal transaction', 'INR');"
"INSERT INTO Bank_Transactions (account_id, transaction_type, transaction_date, transaction_mode, transaction_amount, remarks, currency) VALUES (107, 'Deposit', '2025-06-24 18:54:35', 'Cheque', 37753.00, 'Deposit transaction', 'INR');"
"INSERT INTO Bank_Transactions (account_id, transaction_type, transaction_date, transaction_mode, transaction_amount, remarks, currency) VALUES (22, 'Withdrawal', '2025-09-26 18:54:35', 'Cheque', 32753.00, 'Withdrawal transaction', 'INR');"
"INSERT INTO Bank_Transactions (account_id, transaction_type, transaction_date, transaction_mode, transaction_amount, remarks, currency) VALUES (360, 'Deposit', '2025-05-08 18:54:35', 'Online', 15933.00, 'Deposit transaction', 'INR');"
"INSERT INTO Bank_Transactions (account_id, transaction_type, transaction_date, transaction_mode, transaction_amount, remarks, currency) VALUES (195, 'Transfer', '2025-09-21 18:54:35', 'Cheque', 1736.00, 'Transfer transaction', 'INR');"
"INSERT INTO Bank_Transactions (account_id, transaction_type, transaction_date, transaction_mode, transaction_amount, remarks, currency) VALUES (70, 'Transfer', '2025-06-23 18:54:35', 'Online', 64117.00, 'Transfer transaction', 'INR');"
"INSERT INTO Bank_Transactions (account_id, transaction_type, transaction_date, transaction_mode, transaction_amount, remarks, currency) VALUES (249, 'Withdrawal', '2025-08-29 18:54:35', 'Cash', 5695.00, 'Withdrawal transaction', 'INR');"
"INSERT INTO Bank_Transactions (account_id, transaction_type, transaction_date, transaction_mode, transaction_amount, remarks, currency) VALUES (337, 'Loan_payment', '2025-11-21 18:54:35', 'Cash', 65041.00, 'Loan_payment transaction', 'INR');"
